smiles,class
CCC(O)CC(C)C(O)C(C)(C=CC(=O)NC(CO)C(C)CC)OC,3
COC1C(C(OC2OC(C(=O)O)=CC(O)C2O)C(N)=O)OC(n2ccc(=O)[nH]c2=O)C1OC(N)=O,1
CC(=O)NC(Cc1ccc(OCC=C(C)C)cc1)C(=O)O,3
CCCCCCCCCCCCCC=CCCC=C(C)C(=O)NCCOC(C)=O,1
CC(C)CC1NC(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC1=O,3
CCCc1ccc(O)c(O)c1C(=O)NOC,3
CC(C)C=CC=CC(=O)NC1=CC(O)(CCC(N)=O)C=CC1=O,1
CC(C)CC1NC(=O)C2CC(O)CN2C1=O,3
CC1=CC2C(O)CC34CC(O)(Cc5ccc(cc5)OC5C(C2C3=O)C1C1(C)CC(C)CC(C)C51)NC4=O,3
CCCCCCCC(OC(=O)C(CCCCN(O)C=O)NC(=O)c1nc(-c2ccccc2O)oc1C)C(C)(C)C(=O)NC1CCCCN(O)C1=O,1
COC(CC(C)C(O)C=CC=CCNC(=O)C(C)(C)C(O)C(C)=CC=CC=CC(C)=C(C)[N+](=O)[O-])C1(O)C(C)C(=O)N(C)C12C(=O)OC2C,1
CNCC1OC(OC2C(N)CC(NC(=O)C(O)CCN)C(O)C2O)C(N)C(O)C1O,1
CCC1CC2CC3C4CC=CC(=O)NCCC(O)C5NC(=O)C(=C(O)C=CC4CC(=O)C3C2C1C)C5=O,1
NC(=O)c1cn(CCO)c(Cc2ccccc2)cc1=O,3
CC=CC1=CC=CC(=C2C(=O)CNC2=O)O1,1
CCC(=O)NC(C(=O)NC1C(=O)NC(Cc2ccccc2)C(=O)N2CCCC2C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)OC1C)C(C)C,1
CC=C1NC(=O)CCC(C(=O)O)NC(=O)C(C)C(C=CC(C)=CC(C)C(Cc2ccccc2)OC(C)=O)NC(=O)C(CCCN=C(N)N)NC(=O)CC(C(=O)O)NC(=O)C(CCCN=C(N)N)NC(=O)C(C)NC1=O,1
O=CN(O)CCCC(NC(=O)C(CO)NC(=O)C1COC(c2ccccc2O)=N1)C(=O)NCCC(=O)NC1CCCN(O)C1=O,1
CC(=O)NC1C(OCC(C)=C2CC(C)(C)CC3C(C)CCC23)OC(CO)C(O)C1O,3
CC=C(C)C(=O)NCC1NC(=O)C(C(=O)O)NC(=O)C(O)CNC(=O)C(C(C)O)NC(=O)C(C(O)C(O)C(N)=O)NC(=O)C(C(C)C)NC(=O)C(CO)NC1=O,1
CC(C)=CCCC1(C)OC1CCC(C)=CCOCC1OC(N2CCC(=O)NC2=O)C(O)C1O,1
CC(=O)CC1CC(=O)C(O)CCC(C)=CC2C=C(C)C(C)C3C(CC(C)C)NC(=O)C23C1=O,3
COC1CCC=CC(=O)Nc2cc(O)cc(c2)CC(C)CC(OC)C(O)C(C)C=C(C)C1OC(N)=O,1
COc1cc(O)cc(C)c1C(=O)OC1C(CO)OC(n2ccc(=O)[nH]c2=O)C1O,3
COC1C(=O)Nc2ccccc2C1(O)c1ccccc1,3
CC(=O)NC(C(=O)N(C)C(CC(C)C)C(=O)NC=Cc1c(CC=C(C)C)[nH]c2ccccc12)C(C)C,3
COc1c(O)ccc(C(N)=O)c1O,1
CCCCCCCC1CC(=O)NC(C(C)C)C(=O)NC(C(O)C(C)C)C(=O)NC(C)C(=O)NC(C(O)C(C)C)C(=O)NC(CCC(N)=O)C(=O)N(C)C(C(C)CC)C(=O)NC(C(O)C(N)=O)C(=O)NC(C(C)O)C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NC(C(C)O)C(=O)N1,1
CC=C(C)C=C(C)C(O)C(C)C=C(C)C=CCC(C)=CCc1[nH]c(OC)cc(=O)c1C,1
COc1cc(C(=O)Nc2c(O)c3ccc(OC4OC(C)(C)C(OC)C(OC(=O)c5ccc(C)[nH]5)C4O)c(Cl)c3oc2=O)ccc1O,1
COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)C(OC)OC(C)=C1,1
CCCCCCCC(=O)OC1C2C(CC1(C)C)C(O)C1=C(Cl)C(=O)C(O)(CO)C12C,1
C=C(C)c1cnc2ccccc2c1-c1cc(C(=O)NC(C(=O)N2CCC(C)(O)C2C(=O)NC(C(=O)O)=C(C)CC)C(Cl)C(O)CN=C(N)N)ccc1OC,3
CC1=C(C)C2C(Cc3c[nH]c4ccccc34)NC(=O)C23c2ccc([nH]2)C(=O)C(C)CC(C)CC=CC3C1O,3
COc1cc(O)c2c(c1-c1c(OC)cc(O)c3c1C(=O)c1cc(C)cc(O)c1C3=O)C(=O)c1cc(C)cc(O)c1C2=O,3
COc1cc(C(=O)NCC2(C)OC3(OC(=O)C2O)C(=O)NC(=C(C=O)C(C)=O)OC3C(O)C2CN2C(C)=O)c2cccc(C)c2c1,1
COC1C=CC=CC=CCC(OC(=O)C2(NC(=O)C3CCCCC3)CC2)C(C)C(O)C(C)=CCCC2=CC(=O)C=C(NC(=O)C1)C2=O,1
CCC(C)C1NC(=O)C(C(C)C)N(C)C(=O)C2CC3(O)c4ccccc4N(O)C3N2C(=O)CN(C)C(=O)C(C(C)CC)N(C)C(=O)C(C(C)C)NC(=O)C(O)N(C)C(=O)C(C(C)C(C)O)N(C)C(=O)C(C(C)(C)O)N(C)C(=O)CN(C)C(=O)C(C(C)C)N(C)C(=O)C(C(C)C)N(C)C1=O,3
CCC(C)C(NC(=O)NC(C(=O)O)C(C)C)C(=O)NC1CCCCNC(=O)C=CC(C(C)C)NC1=O,1
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,3
COC(=O)c1ccc(O)c(NC(=O)CCC2(C)C(=O)CC(O)C34CC5CC(OC5(C)C3)C24)c1O,1
CC1CCN2CC34Cc5c([nH]c6ccccc56)C(C)(C)C3CC12C(=O)N4,3
O=C(CC(O)(CC(=O)NCCCNCCCNC(=O)c1ccc(O)c(O)c1)C(=O)O)NCCCCNCCCNC(=O)c1ccc(O)c(O)c1S(=O)(=O)O,1
CC1OC(=O)C(NC(=O)c2cccc(NC=O)c2O)C(C)OC(=O)C(C(C)C)OC(=O)C(C)(C)C(O)C(Cc2ccccc2)OC1=O,1
NC(CCCCNC(=O)Cc1c[nH]c2ccccc12)C(=O)O,1
CC=CC=CCCCCCCC(=O)CNC(C)=O,3
COCc1ccc(O)c(NC(C)=O)c1,1
COc1cc(CO)oc(=O)c1C,3
O=C1NC(Cc2ccc(O)cc2)C(=O)N2CCCC12,3
CC1CC=CC2C3OC3(C)C(C)C3C(Cc4ccccc4)NC(=O)C23C(O)C=CC(C)(O)C1=O,3
CN=C(N)NCCCC=CCCCC(C)C1OC(=O)C=CC=CC(C)C(O)CC(O)C(C)C(O)CCC(C)C(O)CC2(O)OC(CC(O)CC(OC(=O)CC(=O)O)CC(O)C(C)C(O)C(C)=CC=CC1C)CC(O)C2O,1
CCC(C)C1NC(=O)C(CCC(=O)O)N(C)C(=O)C(C(C)C)N(C)C(=O)CNC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(C(C)CC)OC(=O)C(CCC(=O)O)N(C)C(=O)C(C(C)C)NC(=O)C2CCCN2C1=O,1
CCCCCCCC1CC(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(C(C)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)CC)C(=O)NC(C(C)CC)C(=O)NC(CC(=O)O)C(=O)O1,1
CCC(C)C(NC(=O)C(C)(C)NC(=O)C(NC(=O)C(C)(C)NC(=O)C(C)(C)NC(C)=O)C(C)C)C(=O)NC(C)(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)(C)C(=O)N1CCCC1CO,3
Oc1cccc2c1C1(Oc3cccc4cccc(c34)O1)C1OC1C2O,3
COC(=O)C(CCC#CC=C(Cl)Cl)C(CCCC#CCC(Cl)Cl)NC(C)=O,1
